OpenTimeStamp,Open,High,Low,Close,Volume,CloseTimeStamp,rsi,stoch_rsi_smooth,wma,sma
24747377900.0,1690000000000.0,190676.7401,309,15478203356,119243.0317,0,45.786284783363,61.98374840306752,,8564540944.2
14003845845.0,1690000000000.0,108100.007,189,6946940561,53650.62774,0,40.35778249672125,33.01141088287512,,8448341291.0
8921996353.0,1690000000000.0,68896.82955,131,5101054466,39393.94213,0,46.60946746512193,40.04475987452761,,8395199927.0
2814311494.0,1690000000000.0,21726.95586,39,1225002952,9460.566901,0,33.39943650872267,22.40705205564323,,6770214458.6
7066893346.0,1690000000000.0,54534.64384,53,4889614465,37747.82367,0,35.572433108200755,27.890250408597456,,6728163160.0
18515634520.0,1690000000000.0,143203.7437,263,11073211788,85620.66156,0,47.892407122422014,38.81653168628756,,5847164846.4
12296999301.0,1690000000000.0,95116.1398,192,6080003981,47025.2357,0,36.76138334109685,46.548893629155536,,5673777530.4
866430251.0,1690000000000.0,6698.410821,33,90498070,700.4550618,0,42.66335934630551,62.37239879132057,,4671666251.2
6092871226.0,1690000000000.0,47096.27306,67,3202527023,24755.54791,0,47.2970725712275,60.76164173802565,,5067171065.4
11079706934.0,1690000000000.0,85611.48142,131,6013622260,46465.46185,0,50.418375305276356,86.36261312849102,,5291972624.4
10715791170.0,1690000000000.0,82890.23191,140,7856655044,60777.74324,0,50.25833120325192,97.99861495081791,,4648661275.6
5288425299.0,1690000000000.0,40837.99137,90,2097652652,16197.38579,0,47.56838170655621,87.35926354184578,,3852191009.8
14643060612.0,1690000000000.0,112878.1219,211,2100969391,16177.89045,0,44.26877978061037,54.02593020851244,,4254285274.0
6489693377.0,1690000000000.0,49863.07561,180,2822660769,21683.93239,0,48.09319195780437,41.813109526917806,,4178312023.2
6526489734.0,1690000000000.0,50097.25394,153,3760040074,28870.13388,0,38.345162055282245,20.729884655851535,,3727595586.0
7170833645.0,1690000000000.0,55143.85783,64,2040065808,15688.85715,0,44.35477253581864,41.27971383716989,,2564277738.8
4732114317.0,1690000000000.0,36473.13471,103,2594569991,19993.60865,0,47.02804842857298,50.240910217238564,,2663661206.6
4492323133.0,1690000000000.0,34634.60989,63,3640230454,28066.21717,0,53.06979276745819,83.5742435505719,,2971513419.2
4829102198.0,1690000000000.0,37165.28093,95,1737997861,13366.54342,0,45.806369266077034,79.91495049800241,,2754580837.6
2343931368.0,1690000000000.0,18047.93964,45,2310741593,17792.71027,0,36.29381011277669,50.223869462082206,,2464721141.4
1604975168.0,1690000000000.0,12346.20719,32,464915740,3579.605518,0,40.2576697702959,24.766596683316056,,2149691127.8
1779971345.0,1690000000000.0,13690.69621,28,1427247955,10978.25334,0,52.80938168540334,40.69196551541671,,1916226720.6
1298800210.0,1690000000000.0,9984.974616,20,329916156,2537.05524,0,43.4042187513203,55.04288399513919,,1254163861.0
206228655.0,1690000000000.0,1584.056406,9,22033585,169.4382687,0,34.45593169342516,47.16682344057201,,910971005.8
5091389502.0,1690000000000.0,39109.91116,89,3090462238,23745.44014,0,38.37417888828797,21.467195794660324,,1066915134.8
3469475248.0,1690000000000.0,26680.23538,57,1107087294,8514.644416,0,47.03825751805119,29.968158623584525,,1195349445.6
1101885591.0,1690000000000.0,8483.680176,38,446533267,3438.9154,0,45.24037939621382,58.53851954917594,,999206508.0
1412841993.0,1690000000000.0,10871.37669,65,649061570,4998.905858,0,43.554264121569574,75.52571498100491,,1063035590.8
1164384397.0,1690000000000.0,8954.145449,20,558483833,4294.770112,0,40.00385297411575,58.94368322577546,,1170325640.4
3289719847.0,1690000000000.0,25295.50005,48,1383672172,10640.64835,0,47.82926630500707,63.70665563351738,,828967627.2
1968160639.0,1690000000000.0,15109.57168,54,726689376,5581.03363,0,43.86439266372214,56.047637751801865,,752888043.6
161253392.0,1690000000000.0,1237.027686,9,21416982,164.4824218,0,37.84103477992755,49.777788198384634,,667864786.6
4580790644.0,1690000000000.0,35133.83334,95,2324476787,17828.78087,0,51.91884483140382,49.777788198384634,,1002947830.0
