Open Time,Open,High,Low,Close,Volume,Close Time,rsi,stoch_rsi_smooth,wma,sma
1680000000000.0,8.69e-06,8.7e-06,8.68e-06,8.69e-06,1208462616,1680000000000.0,54.54545454545455,70.77922077922081,,8.684e-06
1680000000000.0,8.69e-06,8.71e-06,8.69e-06,8.71e-06,1610349899,1680000000000.0,61.53846153846154,96.969696969697,,8.69e-06
1680000000000.0,8.7e-06,8.7e-06,8.7e-06,8.7e-06,41177002,1680000000000.0,57.142857142857146,93.65079365079366,,8.691999999999999e-06
1680000000000.0,8.7e-06,8.7e-06,8.7e-06,8.7e-06,496922945,1680000000000.0,53.846153846153854,77.70876466528642,,8.696e-06
1680000000000.0,8.71e-06,8.71e-06,8.7e-06,8.7e-06,16666007,1680000000000.0,58.33333333333334,63.81987577639756,,8.7e-06
1680000000000.0,8.7e-06,8.72e-06,8.69e-06,8.71e-06,3723215236,1680000000000.0,66.66666666666666,70.16908212560391,,8.704e-06
1680000000000.0,8.7e-06,8.7e-06,8.69e-06,8.7e-06,216433412,1680000000000.0,58.33333333333334,64.4444444444445,,8.702e-06
1680000000000.0,8.7e-06,8.7e-06,8.69e-06,8.7e-06,245544810,1680000000000.0,54.54545454545455,46.818181818181834,,8.702e-06
1680000000000.0,8.69e-06,8.7e-06,8.69e-06,8.69e-06,41713312,1680000000000.0,54.54545454545455,13.484848484848499,,8.7e-06
1680000000000.0,8.69e-06,8.7e-06,8.69e-06,8.69e-06,3532334,1680000000000.0,50.0,1.8181818181818137,,8.698e-06
1680000000000.0,8.69e-06,8.69e-06,8.69e-06,8.69e-06,313602938,1680000000000.0,55.55555555555556,22.22222222222221,,8.694e-06
1680000000000.0,8.69e-06,8.69e-06,8.68e-06,8.69e-06,2230181867,1680000000000.0,50.0,22.22222222222221,,8.692e-06
1680000000000.0,8.68e-06,8.69e-06,8.68e-06,8.68e-06,694127716,1680000000000.0,50.0,22.22222222222221,,8.687999999999999e-06
1680000000000.0,8.68e-06,8.69e-06,8.68e-06,8.68e-06,707423854,1680000000000.0,50.0,0.0,,8.686e-06
1680000000000.0,8.69e-06,8.69e-06,8.67e-06,8.68e-06,1332918945,1680000000000.0,42.857142857142854,0.0,,8.684e-06
1680000000000.0,8.67e-06,8.69e-06,8.67e-06,8.68e-06,742702281,1680000000000.0,20.0,0.0,,8.682e-06
1680000000000.0,8.68e-06,8.69e-06,8.68e-06,8.68e-06,33638217,1680000000000.0,25.000000000000014,5.555555555555581,,8.68e-06
1680000000000.0,8.68e-06,8.68e-06,8.67e-06,8.67e-06,335476530,1680000000000.0,20.0,5.555555555555581,,8.678e-06
1680000000000.0,8.67e-06,8.69e-06,8.67e-06,8.68e-06,1464921165,1680000000000.0,33.33333333333333,25.000000000000018,,8.678e-06
